Team_TeamID,Season,ConfAdjNetRtg,TeamNameSpelling,Seed
3101,2025,10.14168817,abilene chr,17
3102,2025,5.151964437,air force,17
3103,2025,-25.05278788,akron,17
3104,2025,67.87613791,alabama,5
3105,2025,-2.995359194,alabama a&m,17
3106,2025,-77.39486582,alabama st,17
3107,2025,24.60590315,albany,17
3108,2025,-50.10585546,alcorn,17
3110,2025,-47.96732184,american,17
3111,2025,-11.80043549,appalachian st,17
3112,2025,25.03905585,arizona,17
3113,2025,-5.796440882,arizona st,17
3114,2025,-17.73352525,ark little rock,17
3115,2025,-53.166234,ark pine bluff,17
3116,2025,-7.083606539,arkansas,17
3117,2025,16.85784512,arkansas st,15
3119,2025,12.31384453,army,17
3120,2025,21.44839778,auburn,17
3122,2025,-15.83784499,austin peay,17
3123,2025,27.60547846,ball st,12
3124,2025,65.02120452,baylor,4
3125,2025,16.73172875,belmont,17
3126,2025,-33.25312784,bethune-cookman,17
3127,2025,-3.076727291,binghamton,17
3129,2025,7.530812649,boise st,17
3130,2025,17.69223157,boston college,17
3131,2025,-28.27271516,boston,17
3132,2025,4.011289166,bowling green,17
3133,2025,-6.317906027,bradley,17
3135,2025,-12.93805656,brown,17
3136,2025,-12.34272698,bryant,17
3137,2025,7.807648903,bucknell,17
3138,2025,34.75540323,buffalo,17
3139,2025,7.657027718,butler,17
3140,2025,13.2484603,brigham young,17
3141,2025,-14.06642089,c michigan,17
3142,2025,-20.66283155,cal poly,17
3143,2025,37.1566795,california,8
3144,2025,7.522538246,campbell,17
3145,2025,-31.34290347,canisius,17
3146,2025,9.291545948,cent arkansas,17
3148,2025,-38.75674916,central conn,17
3149,2025,-32.94818873,charleston so,17
3150,2025,-17.32902662,charlotte,17
3151,2025,-2.552883638,chattanooga,17
3152,2025,-61.78274516,chicago st,17
3153,2025,12.61335059,cincinnati,17
3155,2025,22.85865151,clemson,17
3156,2025,28.10142421,cleveland st,17
3157,2025,19.98465469,coastal car,17
3158,2025,30.84614291,charleston,17
3159,2025,26.30602733,colgate,17
3160,2025,23.1493605,colorado,17
3161,2025,25.46198102,colorado st,17
3162,2025,38.86311332,columbia,11
3163,2025,86.67546117,connecticut,2
3164,2025,-8.279540479,coppin st,17
3165,2025,-16.35891297,cornell,17
3166,2025,35.47226069,creighton,9
3167,2025,-49.98517158,bakersfield,17
3168,2025,-25.29659166,cal st. fullerton,17
3169,2025,-51.62943321,cal st. northridge,17
