Season,DayNum,WTeamID,WScore,LTeamID,LScore,NumOT,Team_Home,Team_Away,Team_Neutral,WSeedNum,WNetRtg,LSeedNum,LNetRtg,logitPerc,logitBrier
2023,140,3274,70,3231,68,0,0,1,0,9,27.89070353594972,1,61.156521093217656,0.06943148597666074,0.8659577592916058
2023,139,3279,54,3390,49,0,0,1,0,8,45.902613216370796,1,61.220444055846,0.13118590412998027,0.7548379331824397
2023,151,3234,77,3376,73,0,0,0,1,2,51.17689880064423,1,96.35524089098928,0.20133277422468351,0.6378693375276403
2023,144,3274,70,3437,65,0,0,0,1,9,27.89070353594972,4,45.851243262065296,0.2056179208734443,0.6310428876374293
2023,138,3405,80,3235,73,0,0,0,1,12,37.599159185013804,5,41.46140782839295,0.21574256357720392,0.6150597265844561
2023,140,3257,73,3400,51,0,0,1,0,5,35.982705877331554,4,50.7727552516184,0.29609751136471407,0.49547871350694883
2023,140,3160,61,3181,53,1,0,1,0,6,39.459633928048525,3,39.05515219307825,0.3155024948381562,0.4685368345727884
2023,137,3280,81,3166,66,0,0,0,1,11,42.68472800657771,6,36.99442964882634,0.33788836132796773,0.4383918220649638
2023,137,3208,66,3199,54,0,0,0,1,10,35.12682199743759,7,40.519441983009614,0.34198615546417815,0.4329822196008128
2023,145,3326,73,3163,61,0,0,0,1,3,40.14073615508941,2,54.40493625802195,0.3708587664563078,0.39581869174487866
2023,138,3195,74,3450,63,0,0,0,1,12,57.671203527303234,5,28.021806889874746,0.421289765021705,0.3349055360686334
2023,137,3343,64,3301,63,0,0,0,1,10,40.84998852550324,7,34.26132736758518,0.42343766320573284,0.33242412820966594
2023,145,3268,76,3323,59,0,0,0,1,2,34.318600316516026,3,50.35172654209985,0.4389327125746652,0.3147965010188233
2023,138,3274,62,3329,61,0,0,0,1,9,27.89070353594972,8,28.625074961379134,0.45200358777493355,0.30030006781154495
2023,136,3385,66,3345,64,0,0,0,1,11,24.951684975729275,11,24.893038309756008,0.496243315827845,0.25377079684812437
2023,135,3280,70,3228,56,0,0,0,1,11,42.68472800657771,11,40.54466175151347,0.5174597821660348,0.23284506182725057
2023,144,3257,72,3279,62,0,0,0,1,5,35.982705877331554,8,45.902613216370796,0.5628412182182407,0.19110780048891182
2023,138,3124,78,3104,74,0,0,0,1,7,30.714812502457697,10,39.26225691418861,0.5682230548031407,0.1864313304035316
2023,136,3399,79,3284,69,0,0,0,1,16,13.442956290395903,16,1.3445437362858716,0.5706591398167319,0.18433357422290858
2023,137,3355,62,3425,57,1,0,0,1,9,51.07727804248424,8,35.921527133017086,0.5717853825596981,0.18336775858954407
2023,137,3279,71,3211,48,0,0,0,1,8,45.902613216370796,9,39.5386956963327,0.5927713835674382,0.16583514604157854
2023,140,3417,82,3328,73,0,1,0,0,4,34.046935956024264,5,30.356439526560678,0.603519136598565,0.15719707504354732
2023,138,3160,82,3292,60,0,0,0,1,6,39.459633928048525,11,53.473719694002675,0.6166025656534815,0.146993592663493
2023,151,3261,79,3439,72,0,0,0,1,3,79.65035190620205,1,54.00677019640274,0.6189321063358958,0.14521273958159703
2023,137,3378,67,3266,65,1,0,0,1,8,37.86421351791883,9,24.77746995604686,0.6347779848104776,0.1333871203790957
2023,144,3261,66,3428,63,0,0,0,1,3,79.65035190620205,2,57.41871036709033,0.6358676367519278,0.132592377964626
2023,135,3357,57,3380,47,0,0,0,1,16,3.8671313923334827,16,-20.744182242026255,0.6508086757415545,0.1219345809373668
2023,153,3261,102,3234,85,0,0,0,1,3,79.65035190620205,2,51.17689880064423,0.6755047167400537,0.10529718885795275
2023,137,3276,71,3424,59,0,0,0,1,6,38.52241857617817,11,43.24848347156657,0.6759527820656425,0.10500659945099701
2023,147,3439,84,3326,74,0,0,0,1,1,54.00677019640274,3,40.14073615508941,0.6896269624017874,0.09633142246794146
2023,140,3326,71,3314,69,0,1,0,0,3,40.14073615508941,6,34.86838861082078,0.6932146375974247,0.09411725858447943
2023,137,3112,75,3452,62,0,0,0,1,7,33.46983415590075,10,22.588419912038873,0.695432605468562,0.09276129781166861
2023,146,3234,97,3257,83,0,0,0,1,2,51.17689880064423,5,35.982705877331554,0.7301954679044759,0.0727944855392847
2023,139,3268,77,3112,64,0,1,0,0,2,34.318600316516026,7,33.46983415590075,0.7356535284921005,0.0698790569986767
2023,145,3439,73,3397,64,0,0,0,1,1,54.00677019640274,4,37.69514098266194,0.7380250869939344,0.06863085504453562
2023,144,3234,87,3160,77,0,0,0,1,2,51.17689880064423,6,39.459633928048525,0.7438812060909892,0.06559683659340636
2023,138,3314,61,3385,59,0,0,0,1,6,34.86838861082078,11,24.951684975729275,0.7580521872036444,0.05853874411694032
